EquipmentID,Age,UsageHours,MaintenanceHistory,Temperature,Pressure,VibrationLevel,OperatorExperience,FailureHistory,Location,Environment,Failure
1,5,27427,13,21.46,266.32,2.1,13,5,Section A,Humid,No
2,18,33768,8,74.84,212.54,0.47,12,4,Section C,Dry,Yes
3,7,31021,15,110.19,148.9,7.83,27,2,Section B,Dry,Yes
4,25,22919,17,40.72,275.14,1.3,21,2,Section D,Dry,Yes
5,1,37955,7,120.85,204.16,1.79,19,4,Section C,Humid,No
6,29,29724,5,99.76,61.76,1.76,28,9,Section D,Dry,No
7,27,19000,15,63.11,274.55,9.81,9,8,Section B,Dry,No
8,22,595,13,130.31,268.31,2.61,4,6,Section B,Humid,Yes
9,8,38595,5,103.61,239.44,1.94,12,5,Section C,Dry,Yes
10,3,14478,19,59.45,282.01,9.7,9,3,Section B,Humid,Yes
11,20,27845,16,45.65,149.69,6.31,16,2,Section D,Dry,Yes
12,20,26540,6,40.4,261.07,6.86,14,9,Section A,Normal,Yes
13,28,11466,15,148.27,283.34,8.17,17,6,Section D,Humid,Yes
14,27,26128,5,132.96,247.74,5.51,9,7,Section A,Dry,No
15,22,13737,12,109.46,232.82,5.47,6,3,Section B,Normal,No
16,9,17982,17,81.18,139.08,9.98,23,1,Section D,Humid,Yes
17,25,30687,15,130.26,134.64,6.93,12,6,Section B,Dry,No
18,9,15307,0,111.42,274.6,7.14,8,2,Section A,Humid,No
19,8,6763,11,92.44,94.92,0.97,2,1,Section C,Normal,Yes
20,12,17015,13,121.38,60.64,1.23,29,4,Section B,Dry,No
21,6,33821,6,35.5,210.12,5.13,23,8,Section B,Humid,No
22,3,19081,19,133.67,134.35,7.31,19,2,Section C,Dry,Yes
23,6,38646,1,36.62,232.45,7.56,14,0,Section D,Normal,Yes
24,22,48604,12,137.56,299.37,7.86,22,0,Section B,Humid,Yes
25,4,18721,11,48.58,104.21,7.16,23,6,Section D,Normal,Yes
26,26,447,18,70.48,129.95,1.26,5,0,Section A,Dry,No
27,20,25300,1,118.82,199.1,8.36,28,4,Section C,Normal,No
28,7,37127,8,34.77,216.2,7.69,19,6,Section C,Normal,No
29,2,35448,14,146.71,298.32,3.8,20,2,Section C,Humid,No
30,16,49189,3,117.39,173.93,4.15,24,8,Section C,Humid,Yes
31,2,29655,14,53.87,104.76,5.58,10,1,Section C,Dry,Yes
32,11,16316,13,135.39,270.74,9.93,11,5,Section C,Normal,Yes
33,14,16269,16,25.39,227.51,7.47,12,6,Section A,Normal,No
34,25,7113,4,21.41,204.97,8.39,7,0,Section A,Humid,No
35,29,44364,12,62.08,266.21,2.14,27,1,Section D,Humid,Yes
36,20,45757,6,33.2,69.09,5.11,24,4,Section B,Dry,No
37,15,48368,0,126.59,163.7,5.67,5,8,Section D,Normal,Yes
38,3,2311,12,69.99,272.29,0.54,13,2,Section C,Normal,No
39,12,21312,3,100.55,70.7,1.2,23,8,Section B,Humid,No
40,18,15031,12,126.98,193.33,2.22,23,9,Section C,Normal,Yes
41,8,34360,12,39.89,127.67,8.85,8,6,Section D,Normal,No
42,17,13324,2,146.58,191.5,7.77,2,6,Section A,Dry,No
43,17,5803,7,104.7,74.0,4.91,2,7,Section C,Humid,No
44,5,354,8,28.5,185.3,7.86,6,1,Section C,Humid,No
45,24,4745,6,90.24,177.97,5.26,18,0,Section D,Humid,No
46,10,34490,4,133.21,66.18,9.23,14,1,Section D,Humid,No
47,29,34370,3,136.73,108.49,2.92,2,1,Section A,Dry,Yes
48,20,8689,2,117.22,83.55,1.28,10,3,Section A,Dry,Yes
49,24,23028,7,146.39,168.84,0.59,2,1,Section D,Normal,Yes
50,25,11607,3,84.87,120.88,4.44,29,4,Section A,Dry,No
51,17,2859,10,72.4,179.56,3.12,2,8,Section D,Dry,No
52,5,21793,9,48.71,190.92,9.68,25,2,Section A,Humid,Yes
53,22,38690,1,79.48,51.9,8.84,20,9,Section C,Normal,No
54,7,11506,13,131.45,267.45,4.36,29,1,Section C,Humid,Yes
55,26,18205,7,27.08,86.85,0.26,15,3,Section D,Humid,Yes
56,25,2554,5,49.12,260.55,1.03,4,7,Section C,Dry,Yes
57,3,28549,2,146.31,185.94,2.23,29,4,Section B,Normal,Yes
58,14,16696,16,122.75,107.16,3.98,8,0,Section A,Normal,No
59,19,11565,9,56.2,245.13,8.04,14,1,Section A,Dry,No
60,8,18297,14,128.98,211.37,8.54,29,6,Section C,Humid,No
61,18,45824,7,38.76,213.35,9.99,20,6,Section C,Humid,Yes
62,10,4116,6,106.68,127.7,5.36,8,0,Section C,Dry,Yes
63,6,38132,6,45.91,150.68,9.49,2,0,Section A,Normal,No
64,21,14335,12,89.04,184.01,6.57,22,3,Section A,Normal,Yes
65,2,27659,3,102.15,142.54,4.83,21,4,Section C,Dry,No
66,13,19578,17,115.37,140.93,1.44,24,8,Section B,Humid,Yes
67,18,18959,6,137.88,260.99,9.17,11,5,Section A,Dry,No
68,11,35684,2,123.15,290.81,8.95,15,6,Section B,Normal,No
69,17,48013,13,58.76,170.24,8.81,26,1,Section A,Normal,No
70,2,4773,0,129.6,266.15,9.64,20,1,Section C,Normal,No
71,16,18804,0,28.15,249.89,8.21,20,7,Section C,Normal,Yes
72,2,15216,15,115.74,171.95,0.15,5,4,Section D,Dry,No
73,22,3050,13,82.83,215.52,7.18,13,2,Section D,Humid,Yes
74,16,27165,7,77.15,66.35,4.22,16,1,Section B,Dry,No
75,2,15295,0,111.07,210.71,9.45,23,2,Section D,Dry,No
76,3,49834,3,27.88,110.95,7.86,6,7,Section D,Humid,No
77,20,14124,3,133.49,284.41,8.05,3,1,Section A,Normal,Yes
78,26,22332,3,53.66,216.93,1.18,1,6,Section A,Humid,Yes
79,3,38817,14,125.85,205.13,4.7,27,7,Section B,Normal,Yes
80,17,14988,15,61.96,276.35,4.61,8,9,Section C,Normal,No
81,19,36879,9,115.42,236.75,5.0,15,9,Section A,Dry,Yes
82,26,12395,3,139.51,154.65,7.98,6,6,Section B,Humid,Yes
83,9,40298,13,109.87,246.89,2.28,7,5,Section D,Dry,Yes
84,22,8105,12,50.53,282.72,1.88,19,7,Section D,Humid,No
85,3,27902,1,110.99,285.9,8.59,18,7,Section C,Humid,No
86,13,17335,0,111.01,112.45,8.36,27,7,Section C,Dry,No
87,2,25446,15,140.17,187.18,6.7,1,7,Section C,Humid,No
88,12,32088,15,53.32,248.69,0.72,24,7,Section C,Humid,Yes
89,27,36353,6,146.02,294.97,7.23,13,6,Section A,Humid,Yes
90,15,34881,7,109.07,72.23,1.17,22,2,Section A,Humid,Yes
91,12,42307,3,61.38,242.81,4.03,20,3,Section B,Humid,No
92,27,35266,13,86.27,162.84,8.41,28,5,Section D,Dry,No
93,9,24111,10,119.03,260.61,0.4,1,9,Section D,Humid,No
94,12,29079,16,26.17,237.75,6.38,29,3,Section A,Humid,No
95,22,1663,0,63.71,162.72,5.57,26,4,Section B,Dry,Yes
96,26,9905,16,135.3,281.62,3.83,8,8,Section B,Dry,Yes
97,28,38355,1,33.9,141.86,2.21,5,1,Section A,Dry,Yes
98,18,8491,17,88.64,148.72,1.74,23,3,Section D,Humid,Yes
99,9,13363,2,94.82,239.12,8.42,23,2,Section C,Dry,No
100,14,35741,12,57.31,116.13,1.2,18,5,Section C,Humid,No
101,6,20436,16,72.56,243.58,9.66,2,0,Section A,Normal,No
102,26,8228,14,138.33,249.55,2.04,2,8,Section A,Humid,No
103,16,46874,2,27.85,230.94,7.24,5,6,Section C,Dry,No
104,27,18344,4,40.98,143.88,5.62,18,3,Section A,Dry,Yes
105,2,25402,4,137.15,167.46,3.81,29,8,Section B,Dry,No
106,12,49439,5,43.31,188.67,9.15,19,8,Section A,Dry,Yes
107,23,8437,15,42.65,82.04,0.44,20,5,Section B,Normal,No
108,28,20870,1,95.98,142.53,7.69,14,3,Section C,Normal,Yes
109,15,40487,5,147.97,90.84,7.42,13,5,Section A,Dry,Yes
110,11,2904,12,78.1,119.13,8.37,20,7,Section D,Dry,No
111,16,10432,4,87.91,275.22,8.93,29,6,Section C,Dry,Yes
112,10,40762,19,127.43,64.08,4.63,2,1,Section A,Normal,Yes
113,26,28456,15,110.53,188.48,6.78,8,1,Section A,Normal,No
114,15,48211,15,149.48,158.78,5.79,20,1,Section C,Humid,No
115,18,38819,6,99.65,217.27,5.96,10,6,Section D,Dry,Yes
116,7,2916,19,74.56,290.66,0.35,24,4,Section B,Humid,Yes
117,13,44942,10,63.37,164.6,9.63,24,5,Section B,Dry,No
118,6,15812,2,148.37,176.35,1.7,27,8,Section A,Humid,No
119,7,4620,14,125.09,79.9,4.2,20,5,Section B,Normal,No
120,29,4053,16,126.57,277.82,7.03,19,8,Section B,Normal,No
121,22,31839,2,45.27,147.16,2.21,26,8,Section B,Normal,Yes
122,4,18627,1,79.85,60.54,1.25,25,6,Section B,Dry,No
123,12,21195,13,22.95,182.47,8.97,19,2,Section D,Dry,Yes
124,17,14709,4,89.47,261.18,5.85,27,2,Section D,Normal,Yes
125,26,40299,3,29.59,197.74,1.43,19,8,Section B,Normal,Yes
126,4,39520,11,45.61,199.66,8.74,3,0,Section D,Normal,No
127,1,28796,6,56.66,55.38,1.97,26,1,Section B,Normal,No
128,6,1968,10,126.24,292.64,6.61,1,4,Section B,Humid,No
129,5,38649,19,33.32,151.46,8.57,23,4,Section D,Dry,Yes
130,4,3626,1,137.97,85.47,6.23,5,0,Section A,Normal,Yes
131,8,8771,1,93.62,85.07,0.17,7,2,Section B,Humid,Yes
132,18,4515,9,34.13,217.05,6.53,5,8,Section C,Normal,Yes
133,7,17698,17,148.3,157.89,5.72,13,5,Section A,Normal,No
134,6,13441,16,20.27,63.4,5.33,24,0,Section B,Dry,No
135,12,14119,5,41.18,71.55,3.13,22,8,Section B,Humid,Yes
136,5,391,10,43.9,156.57,6.3,23,8,Section B,Dry,Yes
137,24,44022,16,132.87,248.91,0.26,10,4,Section B,Normal,No
138,1,28029,14,65.22,85.62,5.23,26,6,Section C,Humid,No
139,15,31409,9,128.53,78.47,3.35,16,1,Section B,Humid,No
140,25,37106,3,25.48,167.97,0.57,1,8,Section C,Dry,No
141,25,26758,12,144.62,181.12,2.7,7,8,Section B,Humid,Yes
142,14,14639,0,130.98,178.32,8.38,13,8,Section A,Normal,Yes
143,26,9447,14,81.86,175.78,2.66,21,0,Section C,Dry,No
144,12,1110,4,39.87,272.46,4.77,29,0,Section A,Dry,Yes
145,8,9391,5,49.08,148.1,5.7,4,4,Section A,Humid,Yes
146,12,31107,6,49.61,58.39,2.94,7,1,Section A,Humid,Yes
147,16,9699,7,111.36,52.5,5.48,21,4,Section D,Normal,No
148,25,27844,11,68.73,150.82,9.56,20,4,Section B,Dry,Yes
149,11,38844,14,20.41,273.39,1.92,20,2,Section B,Humid,Yes
150,5,30862,2,69.94,227.92,8.93,10,0,Section D,Humid,Yes
151,14,30094,8,94.34,192.56,5.66,1,5,Section B,Dry,Yes
152,12,13131,10,27.0,225.46,7.82,13,0,Section A,Dry,Yes
153,29,21411,19,91.65,91.84,6.03,28,3,Section D,Dry,Yes
154,2,31220,11,121.0,124.8,3.12,26,0,Section B,Dry,Yes
155,20,9741,7,93.35,247.7,5.79,21,1,Section B,Humid,No
156,2,14413,13,63.08,52.68,4.32,12,4,Section B,Dry,No
157,18,2576,15,66.95,126.16,5.98,27,9,Section C,Dry,No
158,12,5810,2,75.95,287.82,5.7,1,3,Section B,Normal,No
159,5,16814,0,130.18,202.73,6.81,14,0,Section B,Humid,Yes
160,12,47701,17,24.12,232.87,7.28,19,3,Section C,Dry,No
161,1,32115,12,66.07,148.92,5.52,26,2,Section C,Humid,Yes
162,26,36237,11,144.72,75.84,8.13,27,8,Section B,Dry,No
163,10,20453,4,128.05,220.57,6.89,9,1,Section A,Normal,No
164,21,26558,6,37.53,156.07,2.62,21,6,Section A,Dry,No
165,17,41750,5,66.13,85.96,9.39,24,0,Section C,Dry,Yes
166,3,28021,8,22.34,274.14,0.8,11,3,Section C,Normal,Yes
167,13,14160,3,114.85,112.93,6.37,23,4,Section C,Normal,Yes
168,7,14109,3,33.46,137.12,6.16,12,3,Section A,Dry,No
169,8,13145,2,70.17,102.28,4.5,21,2,Section D,Dry,Yes
